Data_Coleta,Cidade,Local OpenAQ,País OpenAQ,Temperatura (°C),Sensação térmica (°C),Temp mínima (°C),Temp máxima (°C),Umidade (%),Pressão atmosférica (hPa),Descrição clima,Parâmetro,Valor,Unidade
2025-08-26 21:15:10,Curacao,N/A,N/A,28.9 °C,34.2 °C,28.9 °C,29.8 °C,79%,1011 hPa,Céu limpo,N/A,N/A,N/A
2025-08-26 21:15:39,Curacao,N/A,N/A,28.9 °C,34.2 °C,28.9 °C,29.8 °C,79%,1011 hPa,Céu limpo,N/A,N/A,N/A
